Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,35 to 44 years,2013,gs1datot,191.58409990778574,11.262157655052986,149.29493038316582,233.87326943240566,407,Total amount of donations,Average total amount of donations,QC,NA,
Age group,45 to 54 years,2013,gs1datot,384.1587788880349,27.865392857571276,174.3498224970478,593.967735279022,396,Total amount of donations,Average total amount of donations,QC,NA,*
Age group,55 to 64 years,2013,gs1datot,316.19618546384504,13.15313404654644,234.68185541302495,397.71051551466513,464,Total amount of donations,Average total amount of donations,QC,NA,
Age group,65 to 74 years,2013,gs1datot,350.36618192303825,15.51146098682779,243.84818855686984,456.88417528920667,326,Total amount of donations,Average total amount of donations,QC,NA,
Age group,75 years and over,2013,gs1datot,439.37750691838994,33.90649836569441,147.38691909562885,731.368094741151,168,Total amount of donations,Average total amount of donations,QC,NA,...
Sex,Male,2013,gs1datot,980.9428351803099,15.11134171216883,690.4102711851895,1271.4753991754303,386,Total amount of donations,Average total amount of donations,AB,NA,
Sex,Female,2013,gs1datot,753.2265946004063,10.031311996753077,605.1346367709926,901.31855242982,502,Total amount of donations,Average total amount of donations,AB,NA,
Sex,Male,2013,gs1datot,368.28916294600884,6.67797633036859,320.0852929871672,416.4930329048505,1430,Total amount of donations,Average total amount of donations,AT,NA,
Sex,Female,2013,gs1datot,384.3627132018016,4.469023800695285,350.6959000261481,418.02952637745517,2076,Total amount of donations,Average total amount of donations,AT,NA,
Sex,Male,2013,gs1datot,749.9415989708791,11.463952003346945,581.4377232060925,918.4454747356657,633,Total amount of donations,Average total amount of donations,BC,NA,
Sex,Female,2013,gs1datot,665.6875884845966,12.666832448718804,500.420423691425,830.9547532777683,863,Total amount of donations,Average total amount of donations,BC,NA,
Sex,Male,2013,gs1datot,620.5374047238504,8.295277797689353,519.647667572098,721.4271418756027,1123,Total amount of donations,Average total amount of donations,ON,NA,
Sex,Female,2013,gs1datot,453.217724401274,4.991399349433493,408.8796023069695,497.55584649557846,1518,Total amount of donations,Average total amount of donations,ON,NA,
