,refDate,geo,subSector,valNorm_Goods,valNorm_Membership,valNorm_Investments,valNorm_HouseDons,valNorm_CorpDons,valNorm_Government,valNorm_Households,valNormP_Goods,valNormP_Membership,valNormP_Investments,valNormP_HouseDons,valNormP_CorpDons,valNormP_Government,valNormP_Households,label_Goods,label_Membership,label_Investments,label_HouseDons,label_CorpDons,label_Government,label_Households,label_Goods_FR,label_Membership_FR,label_Investments_FR,label_HouseDons_FR,label_CorpDons_FR,label_Government_FR,label_Households_FR
79,2008-01-01,SK,institutions commerciales à but non lucratif,509000000,166000000.0,30000000,,0,14000000,2000000.0,1.1162280701754386,1.1140939597315436,1.1111111111111112,,,1.0769230769230769,1.0,$509.0M,$166.0M,$30.0M,,,$14.0M,$2.0M,509.0 M$,166.0 M$,30.0 M$,,,14.0 M$,2.0 M$
80,2008-01-01,SK,Institutions gouvernementales à but non lucratif,655000000,,15000000,,104000000,3374000000,,1.0250391236306728,,0.7894736842105263,,1.0097087378640777,1.0258437214958953,,$655.0M,,$15.0M,,$104.0M,$3.4B,,655.0 M$,,15.0 M$,,104.0 M$,3.4 G$,
81,2008-01-01,YT,Organismes communautaires à but non lucratif,19000000,,1000000,,4000000,21000000,,1.0555555555555556,,0.3333333333333333,,1.0,1.2352941176470589,,$19.0M,,$1.0M,,$4.0M,$21.0M,,19.0 M$,,1.0 M$,,4.0 M$,21.0 M$,
82,2008-01-01,YT,institutions commerciales à but non lucratif,19000000,6000000.0,1000000,,0,1000000,0.0,1.1176470588235294,1.0,1.0,,,inf,,$19.0M,$6.0M,$1.0M,,,$1.0M,,19.0 M$,6.0 M$,1.0 M$,,,1.0 M$,
83,2008-01-01,YT,Institutions gouvernementales à but non lucratif,7000000,,1000000,,1000000,87000000,,1.1666666666666667,,1.0,,1.0,1.0357142857142858,,$7.0M,,$1.0M,,$1.0M,$87.0M,,7.0 M$,,1.0 M$,,1.0 M$,87.0 M$,
84,2009-01-01,AB,Organismes communautaires à but non lucratif,1272000000,,109000000,,231000000,1963000000,,1.1943661971830986,,0.7414965986394558,,0.90234375,1.0508565310492506,,$1.3B,,$109.0M,,$231.0M,$2.0B,,1.3 G$,,109.0 M$,,231.0 M$,2.0 G$,
85,2009-01-01,AB,institutions commerciales à but non lucratif,2704000000,881000000.0,162000000,,0,76000000,12000000.0,1.239798257679963,1.2408450704225351,1.2461538461538462,,,1.2459016393442623,1.3333333333333333,$2.7B,$881.0M,$162.0M,,,$76.0M,$12.0M,2.7 G$,881.0 M$,162.0 M$,,,76.0 M$,12.0 M$
86,2009-01-01,AB,Institutions gouvernementales à but non lucratif,2731000000,,66000000,,317000000,12599000000,,1.146515533165407,,0.8048780487804879,,0.8781163434903048,1.1022747156605424,,$2.7B,,$66.0M,,$317.0M,$12.6B,,2.7 G$,,66.0 M$,,317.0 M$,12.6 G$,
87,2009-01-01,BC,Organismes communautaires à but non lucratif,1790000000,,153000000,,325000000,1760000000,,1.184645929847783,,0.7355769230769231,,0.8953168044077136,1.1139240506329111,,$1.8B,,$153.0M,,$325.0M,$1.8B,,1.8 G$,,153.0 M$,,325.0 M$,1.8 G$,
88,2009-01-01,BC,institutions commerciales à but non lucratif,3381000000,1101000000.0,202000000,,0,95000000,15000000.0,1.2398239823982398,1.239864864864865,1.2392638036809815,,,1.2337662337662338,1.25,$3.4B,$1.1B,$202.0M,,,$95.0M,$15.0M,3.4 G$,1.1 G$,202.0 M$,,,95.0 M$,15.0 M$
