refDate,geo,valNormP_coreEmp_All,valNormP_govtEmp_All,valNormP_coreEmp_Sports,valNormP_coreEmp_Education,valNormP_govtEmp_Education,valNormP_coreEmp_Health,valNormP_govtEmp_Health,valNormP_coreEmp_SocServ,valNormP_govtEmp_SocServ,valNormP_coreEmp_Environment,valNormP_coreEmp_DevtHousing,valNormP_coreEmp_Advocacy,valNormP_coreEmp_Fdns,valNormP_coreEmp_International,valNormP_coreEmp_Religion,valNormP_coreEmp_ProfAssoc,valNormP_coreEmp_Other,valNorm_coreEmp_All,valNorm_govtEmp_All,valNorm_coreEmp_Sports,valNorm_coreEmp_Education,valNorm_govtEmp_Education,valNorm_coreEmp_Health,valNorm_govtEmp_Health,valNorm_coreEmp_SocServ,valNorm_govtEmp_SocServ,valNorm_coreEmp_Environment,valNorm_coreEmp_DevtHousing,valNorm_coreEmp_Advocacy,valNorm_coreEmp_Fdns,valNorm_coreEmp_International,valNorm_coreEmp_Religion,valNorm_coreEmp_ProfAssoc,valNorm_coreEmp_Other
2012-01-01,NS,1.0555555555555556,1.0625,1,1,1.0714285714285714,1,1.103448275862069,1,1,NA,1,NA,1,NA,1,1,2,19000,51000,2000,1000,15000,2000,32000,4000,4000,NA,1000,NA,1000,NA,2000,5000,2000
2012-01-01,NB,1,1.0689655172413792,1,NA,1.125,1,1.0555555555555556,1,1.5,NA,NA,NA,NA,NA,1,1,2,12000,31000,1000,NA,9000,1000,19000,2000,3000,NA,NA,NA,NA,NA,2000,3000,2000
2012-01-01,QC,1.1358024691358024,1.0341207349081365,1.0625,1.0526315789473684,1.0434782608695652,1,1.03125,1.1590909090909092,1.0303030303030303,NA,1.25,1,1,1,0.9285714285714286,1.1842105263157894,1.3571428571428572,184000,394000,17000,20000,96000,3000,264000,51000,34000,NA,5000,2000,6000,1000,13000,45000,19000
2012-01-01,ON,1.0842911877394636,1.0066225165562914,1.0434782608695652,1.1363636363636365,0.9878787878787879,1.1111111111111112,1.0196078431372548,1.26,1.0303030303030303,NA,1.5,1,0.9,1,1.032258064516129,1.015625,1,283000,456000,24000,25000,163000,20000,260000,63000,34000,NA,9000,4000,9000,2000,32000,65000,30000
2012-01-01,MB,1.1428571428571428,1.0735294117647058,1,1.5,1,1,1.0612244897959184,1.1111111111111112,1.1666666666666667,NA,1,NA,1,NA,1.3333333333333333,1.2,1.5,32000,73000,3000,3000,13000,1000,52000,10000,7000,NA,1000,NA,1000,NA,4000,6000,3000
2012-01-01,SK,1.1764705882352942,1.087719298245614,1,1,1.0714285714285714,1,1.0789473684210527,1.25,1.2,NA,NA,NA,1,NA,1,1,1.5,20000,62000,2000,1000,15000,1000,41000,5000,6000,NA,NA,NA,1000,NA,3000,4000,3000
2012-01-01,AB,1.1746031746031746,1.084848484848485,1.2857142857142858,1.2,1,1,1.1226415094339623,1.0833333333333333,1.1538461538461537,NA,1.5,1,1,1,1.125,1.1764705882352942,1.5,74000,179000,9000,6000,44000,2000,119000,13000,15000,NA,3000,1000,3000,1000,9000,20000,9000
2012-01-01,BC,1.1647058823529413,1.0751445086705202,1,1.1818181818181819,1.0740740740740742,1,1.0660377358490567,1.1764705882352942,1.0769230769230769,NA,1.6666666666666667,1,1,1,1.0909090909090908,1.15,1.6666666666666667,99000,186000,9000,13000,58000,3000,113000,20000,14000,NA,5000,1000,3000,1000,12000,23000,10000
2012-01-01,YT,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01,NT,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,NA,NA,NA,NA,2000,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
