,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
104,105,Don de temps,Do not report barrier,2018,gs1datot,226.47149682651101,5.06650630901198,203.98249243217302,248.960501220849,842,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
105,106,Don de temps,Report barrier,2018,gs1datot,229.641204159333,7.49315785445637,195.915363154958,263.367045163707,284,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
106,107,Don de temps,Do not report barrier,2018,gs1datot,228.209892620917,3.49904029921979,212.55927423514703,243.860511006687,1766,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
107,108,Don de temps,Report barrier,2018,gs1datot,223.39158455266602,6.2701518010226795,195.93838575506803,250.844783350263,680,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
108,109,Don de temps,Do not report barrier,2018,gs1datot,248.655516567199,4.998339119129481,224.295818115954,273.015215018444,797,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
109,110,Don de temps,Report barrier,2018,gs1datot,234.410906287918,6.9687908231388604,202.39370739964698,266.428105176189,383,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
110,111,Don de temps,Do not report barrier,2018,gs1datot,139.901770796554,4.89201323082146,126.487751537294,153.315790055814,877,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
111,112,Don de temps,Report barrier,2018,gs1datot,161.96031340445,7.11512099334127,139.374330805361,184.546296003539,385,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
112,113,Don direct,Do not report barrier,2018,gs1datot,254.842688365616,6.09766404309839,224.385924115216,285.299452616015,456,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
113,114,Don direct,Report barrier,2018,gs1datot,245.090639799142,8.367998610342429,204.893383035096,285.28789656318696,269,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
114,115,Don direct,Do not report barrier,2018,gs1datot,188.49436067261502,4.209159110733601,172.943952411544,204.044768933685,1389,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
115,116,Don direct,Report barrier,2018,gs1datot,207.49745129095902,4.38575586844704,189.661129015721,225.333773566197,1125,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
116,117,Don direct,Do not report barrier,2018,gs1datot,216.39773546956002,5.132957536293611,194.62723192756098,238.168239011558,722,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
117,118,Don direct,Report barrier,2018,gs1datot,244.64590129433398,6.834973202554059,211.872399208747,277.419403379921,417,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
118,119,Don direct,Do not report barrier,2018,gs1datot,212.71923313423198,3.98675640462727,196.097567171185,229.340899097278,1508,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
119,120,Don direct,Report barrier,2018,gs1datot,258.811186660319,4.76006697187366,234.665242157033,282.957131163604,945,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
120,121,Don direct,Do not report barrier,2018,gs1datot,227.83821777031503,5.739803404663251,202.206855831079,253.469579709551,655,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
121,122,Don direct,Report barrier,2018,gs1datot,264.945577157023,6.26756785899168,232.399113295005,297.492041019041,527,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
122,123,Don direct,Do not report barrier,2018,gs1datot,135.45092978768298,5.50086994118037,120.84727835392599,150.05458122144,694,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
123,124,Don direct,Report barrier,2018,gs1datot,159.92346603916,5.9706009156523505,141.20896175064,178.63797032768002,570,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
124,125,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,252.288456087561,5.62419974212015,224.478121992883,280.09879018224,597,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
125,126,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,256.49376341901797,10.972893669206501,201.33099272739497,311.65653411064096,131,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
126,127,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,198.033758313741,3.55162190875305,184.24852734513402,211.818989282349,2070,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
127,128,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,193.87745267655103,6.82449830627679,167.944848793628,219.810056559474,447,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
128,129,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,226.18569933297402,4.6524912876319995,205.560469220923,246.81092944502498,927,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
129,130,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,229.686276710659,10.0920872827686,184.254038090571,275.118515330747,203,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
130,131,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,226.325482805233,3.33647105444313,211.525237691862,241.125727918604,2027,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
131,132,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,238.14738331474499,8.21706281468976,199.793396737314,276.501369892175,413,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
132,133,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,242.51603493632498,4.66387507981843,220.347578255204,264.684491617445,934,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
133,134,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,250.19776982535,9.36993289865358,204.249622381593,296.14591726910703,253,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
134,135,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,143.058306992257,4.37933938059061,130.779115429806,155.337498554708,1045,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
135,136,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,161.848332849759,9.09942189516576,132.983428491765,190.713237207753,214,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
136,137,Utilisation non efficiente de l'argent,Do not report barrier,2018,gs1datot,244.530810858893,6.05996458983672,215.487122676678,273.574499041108,540,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
137,138,Utilisation non efficiente de l'argent,Report barrier,2018,gs1datot,278.55732014073396,9.758824674523051,225.277815020589,331.836825260879,179,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
